faculty_full_name,year_id,num_external_grants
Carlos G. Gallo,2013,
Carlos G. Gallo,2014,
Carlos G. Gallo,2015,
Carlos G. Gallo,2016,
Carlos G. Gallo,2017,
Carlos G. Gallo,2018,
Carlos G. Gallo,2019,
Carlos G. Gallo,2020,
Carlos G. Gallo,2021,
Carlos G. Gallo,2022,
Carlos G. Gallo,2023,
Chad J. Achenbach,2011,
Chad J. Achenbach,2012,
Chad J. Achenbach,2013,
Chad J. Achenbach,2014,
Chad J. Achenbach,2015,
Chad J. Achenbach,2016,
Chad J. Achenbach,2017,
Chad J. Achenbach,2018,
Chad J. Achenbach,2019,
Chad J. Achenbach,2020,
Chad J. Achenbach,2021,
Claire A. Coyne,2014,
Claire A. Coyne,2015,
Claire A. Coyne,2016,
Claire A. Coyne,2017,
Claire A. Coyne,2018,
Claire A. Coyne,2019,
Claire A. Coyne,2020,
Claire A. Coyne,2021,
Claire A. Coyne,2022,
Claire A. Coyne,2023,
Claire A. Coyne,2024,
Claus-Peter Richter,2009,
Claus-Peter Richter,2010,
Claus-Peter Richter,2011,
Claus-Peter Richter,2012,
Claus-Peter Richter,2013,
Claus-Peter Richter,2014,
Claus-Peter Richter,2015,
Claus-Peter Richter,2016,
Claus-Peter Richter,2017,
Claus-Peter Richter,2018,
Claus-Peter Richter,2019,
Colby Shad Thaxton,2009,
Colby Shad Thaxton,2010,
Colby Shad Thaxton,2011,
Colby Shad Thaxton,2012,
Colby Shad Thaxton,2013,
Colby Shad Thaxton,2014,
Colby Shad Thaxton,2015,
Colby Shad Thaxton,2016,
Colby Shad Thaxton,2017,
Colby Shad Thaxton,2018,
Colby Shad Thaxton,2019,
Colin K. Franz,2013,
Colin K. Franz,2014,
Colin K. Franz,2015,
Colin K. Franz,2016,
Colin K. Franz,2017,
Colin K. Franz,2018,
Colin K. Franz,2019,
Colin K. Franz,2020,
Colin K. Franz,2021,
Colin K. Franz,2022,
Colin K. Franz,2023,
Dan Xu,2010,
Dan Xu,2011,
Dan Xu,2012,
Dan Xu,2013,
Dan Xu,2014,
Dan Xu,2015,
Dan Xu,2016,
Dan Xu,2017,
Dan Xu,2018,
Dan Xu,2019,
Dan Xu,2020,
Daniel Montie Corcos,2011,
Daniel Montie Corcos,2012,
Daniel Montie Corcos,2013,
Daniel Montie Corcos,2014,
Daniel Montie Corcos,2015,
Daniel Montie Corcos,2016,
Daniel Montie Corcos,2017,
Daniel Montie Corcos,2018,
Daniel Montie Corcos,2019,
Daniel Montie Corcos,2020,
Daniel Montie Corcos,2021,
Daniel T. Robinson,2013,
Daniel T. Robinson,2014,
Daniel T. Robinson,2015,
Daniel T. Robinson,2016,
Daniel T. Robinson,2017,
Daniel T. Robinson,2018,
Daniel T. Robinson,2019,
Daniel T. Robinson,2020,
Daniel T. Robinson,2021,
Daniel T. Robinson,2022,
Daniel T. Robinson,2023,
Daniela P. Ladner,2011,
Daniela P. Ladner,2012,
Daniela P. Ladner,2013,
Daniela P. Ladner,2014,
Daniela P. Ladner,2015,
Daniela P. Ladner,2016,
Daniela P. Ladner,2017,
